Arrival Time, Inter Arrival Time
27.758284,0.325000
28.150917,0.392633
31.054183,2.903266
33.344866,2.290684
35.618840,2.273973
37.462963,1.844124
39.600122,2.137159
40.639610,1.039488
46.306585,5.666975
48.945995,2.639409
51.686947,2.740952
53.736225,2.049278
53.737263,0.001038
55.489369,1.752106
57.082808,1.593439
58.559519,1.476712
58.670257,0.110738
60.567961,1.897704
61.298554,0.730593
63.624293,2.325738
64.650902,1.026609
66.427970,1.777068
66.912023,0.484053
67.374152,0.462130
69.310402,1.936250
71.736793,2.426391
73.167634,1.430841
74.322730,1.155096
75.860491,1.537761
76.376888,0.516397
76.978688,0.601801
77.311105,0.332417
79.676379,2.365274
80.144316,0.467937
83.491947,3.347632
83.562531,0.070584
86.529667,2.967136
89.479801,2.950134
91.636931,2.157129
92.043260,0.406329
94.014526,1.971266
94.466911,0.452385
94.855090,0.388179
95.196946,0.341856
95.741964,0.545017
96.761650,1.019687
99.018324,2.256674
99.508916,0.490592
100.146075,0.637160
101.605272,1.459197
102.959916,1.354644
103.504484,0.544569
103.564362,0.059878
104.724000,1.159638
104.923246,0.199247
105.154639,0.231393
108.081147,2.926508
108.547095,0.465947
109.137843,0.590748
116.821095,7.683252
123.458149,6.637054
123.789077,0.330929
124.361847,0.572769
124.612281,0.250435
124.651376,0.039095
132.018948,7.367572
134.010351,1.991403
134.046200,0.035849
138.634312,4.588112
141.829866,3.195554
145.725682,3.895816
149.738291,4.012609
150.047331,0.309040
150.707287,0.659956
152.278171,1.570884
152.985149,0.706978
154.389740,1.404591
157.713499,3.323760
158.587252,0.873753
162.117226,3.529974
163.209883,1.092657
164.040705,0.830822
168.055869,4.015164
169.987226,1.931357
174.966359,4.979133
175.238020,0.271661
177.225523,1.987504
178.993226,1.767703
181.511567,2.518341
184.636932,3.125365
184.741582,0.104650
186.209485,1.467903
186.316738,0.107253
188.487453,2.170715
191.004421,2.516968
194.120026,3.115604
196.176997,2.056971
201.639096,5.462099
202.585326,0.946230
202.685343,0.100017
206.450288,3.764946
207.642450,1.192162
210.876622,3.234172
211.453021,0.576399
212.623160,1.170139
213.189258,0.566098
213.645421,0.456163
217.509434,3.864013
221.324719,3.815285
221.417945,0.093226
222.569591,1.151646
222.571381,0.001790
223.875046,1.303665
224.348228,0.473182
227.271708,2.923479
228.635422,1.363714
233.181384,4.545963
234.464522,1.283137
235.997224,1.532702
236.051152,0.053928
236.376351,0.325199
237.075187,0.698837
240.360556,3.285369
242.811470,2.450914
244.282143,1.470673
247.200729,2.918586
252.730701,5.529972
254.214086,1.483384
254.374550,0.160464
255.094546,0.719996
257.333342,2.238797
260.301604,2.968262
261.413318,1.111714
266.778595,5.365277
267.281960,0.503365
267.352486,0.070526
268.884972,1.532486
273.319304,4.434332
274.931004,1.611700
276.998298,2.067294
279.997125,2.998827
280.941491,0.944367
282.338928,1.397437
285.787249,3.448320
286.994531,1.207282
290.234782,3.240252
290.773709,0.538927
291.080540,0.306831
292.718175,1.637634
294.197226,1.479051
298.872355,4.675129
300.972629,2.100275
306.903381,5.930752
307.280141,0.376760
309.224945,1.944804
313.743635,4.518691
314.628542,0.884907
316.167926,1.539384
316.552945,0.385019
317.108850,0.555904
317.835543,0.726693
319.502857,1.667315
319.889627,0.386770
320.130722,0.241095
320.265631,0.134908
321.779732,1.514101
322.869178,1.089446
324.756018,1.886840
328.483088,3.727071
331.119062,2.635974
335.474675,4.355613
336.140578,0.665903
344.914212,8.773634
345.673302,0.759090
345.731928,0.058626
346.821887,1.089959
347.058515,0.236628
350.543947,3.485432
352.871700,2.327753
353.353396,0.481697
354.091123,0.737726
354.491691,0.400568
355.006666,0.514976
356.436333,1.429667
356.813256,0.376923
357.239445,0.426190
357.724353,0.484908
361.629917,3.905564
364.261890,2.631973
365.378020,1.116130
372.166257,6.788237
372.928924,0.762667
374.864949,1.936025
375.424484,0.559536
375.489663,0.065178
376.421654,0.931992
376.532677,0.111023
376.702416,0.169739
376.772194,0.069777
380.785714,4.013521
381.546528,0.760814
383.011848,1.465320
383.064993,0.053144
384.373441,1.308449
386.593738,2.220297
390.285359,3.691621
392.052983,1.767624
394.580365,2.527383
395.852879,1.272514
397.459262,1.606383
398.753603,1.294341
400.495924,1.742320
405.073860,4.577936
406.467265,1.393405
408.539722,2.072457
408.694067,0.154345
408.864256,0.170189
411.529889,2.665633
414.069982,2.540093
415.620141,1.550159
419.713467,4.093326
423.545137,3.831670
423.559562,0.014425
423.877683,0.318122
424.333180,0.455497
424.605817,0.272637
426.104595,1.498778
426.824482,0.719887
427.892391,1.067909
428.586752,0.694360
433.508915,4.922163
436.893288,3.384373
442.284927,5.391639
445.080298,2.795372
446.588068,1.507770
447.311282,0.723214
448.451636,1.140354
452.486507,4.034871
453.992846,1.506339
454.184130,0.191284
454.896259,0.712129
457.093592,2.197333
458.988405,1.894813
459.106942,0.118537
462.394815,3.287873
464.306641,1.911826
464.893945,0.587304
467.552816,2.658871
468.340212,0.787396
468.583490,0.243278
469.164706,0.581216
471.348082,2.183376
472.449352,1.101270
472.723596,0.274244
478.665976,5.942380
478.783931,0.117955
481.204762,2.420831
483.256700,2.051938
483.479618,0.222918
484.692592,1.212974
486.395033,1.702441
488.478064,2.083031
489.600694,1.122630
489.650111,0.049417
490.620928,0.970817
495.193095,4.572167
497.422465,2.229370
498.210488,0.788023
500.241412,2.030924
500.687309,0.445897
501.164532,0.477224
503.402248,2.237716
508.132226,4.729978
508.547694,0.415468
509.126311,0.578616
509.980142,0.853831
511.365743,1.385601
513.528833,2.163090
515.579416,2.050583
526.561276,10.981859
527.280795,0.719519
527.673300,0.392505
528.163834,0.490535
533.178666,5.014831
536.538433,3.359768
536.691041,0.152608
538.325110,1.634069
541.881975,3.556865
545.318970,3.436995
548.254463,2.935493
549.976503,1.722040
550.636606,0.660104
553.283318,2.646711
553.889685,0.606367
556.755308,2.865623
557.703035,0.947726
558.617946,0.914911
559.013329,0.395383
563.504513,4.491185
566.922386,3.417872
567.768856,0.846470
568.821029,1.052172
581.218365,12.397336
582.331394,1.113029
585.543117,3.211723
586.140804,0.597687
588.463694,2.322890
589.368439,0.904745
589.591975,0.223535
590.349519,0.757544
594.869160,4.519642
594.953169,0.084008
598.627858,3.674689
605.279761,6.651903
608.549025,3.269264
610.909086,2.360061
611.804827,0.895741
613.769467,1.964640
614.876843,1.107376
616.099570,1.222726
618.684558,2.584989
619.311337,0.626779
619.350447,0.039110
622.292316,2.941869
622.423689,0.131373
624.143229,1.719539
624.347412,0.204183
625.238075,0.890663
629.036081,3.798007
634.234098,5.198017
635.794897,1.560799
639.200087,3.405190
639.530859,0.330772
641.800689,2.269830
642.228113,0.427423
645.209271,2.981158
648.572681,3.363410
649.965731,1.393050
650.085321,0.119590
650.401688,0.316367
650.691903,0.290215
655.824093,5.132190
660.982686,5.158593
662.763972,1.781286
672.486543,9.722571
673.086822,0.600279
